id,company,index,bs_eurm,u_eurm,binding_thr_eurm,largest_rpt_eurm,exemption,notices_2024,exceeds_numerically,cushion_x
01,Andritz,ATX,8163,8314.0,208,14.0,,0,False,0.0673076923076923
02,AT&S,ATX,4622,1590.0,40,1.0,,0,False,0.025
03,BAWAG Group,ATX,72300,1628.0,41,35.0,,0,False,0.8536585365853658
04,CA Immobilien Anlagen,ATX,6029,239.0,6,60.5,PRO_RATA_DIV,0,True,10.083333333333334
05,DO & CO,ATX,1279,2298.0,57,1.0,,0,False,0.017543859649122806
06,Erste Group Bank,ATX,353700,11178.0,279,350.0,PRO_RATA_DIV,0,True,1.2544802867383513
07,EVN,ATX,10914,3257.0,81,182.0,PRO_RATA_DIV,0,True,2.246913580246914
08,Lenzing,ATX,4977,2663.0,67,30.0,,0,False,0.44776119402985076
09,Mayr-Melnhof Karton,ATX,4863,4080.0,102,10.0,,0,False,0.09803921568627451
10,OMV,ATX,45517,33981.0,850,1228.0,ORDINARY,0,True,1.4447058823529413
11,Österreichische Post,ATX,6500,3123.0,78,65.0,,0,False,0.8333333333333334
12,PIERER Mobility,ATX,950,1873.0,47,372.0,POST_DECONS,0,True,7.914893617021277
13,Raiffeisen Bank Int.,ATX,199900,6400.0,160,100.0,,0,False,0.625
14,Schoeller-Bleckmann,ATX,986,560.0,14,5.3,,0,False,0.37857142857142856
15,Telekom Austria,ATX,9854,5410.0,135,243.0,ORDINARY,0,True,1.8
16,UNIQA Insurance Group,ATX,28532,7840.0,196,215.0,CONSOL,0,True,1.096938775510204
17,Verbund,ATX,18718,8225.0,206,682.0,PRO_RATA_DIV,0,True,3.3106796116504853
18,Vienna Insurance Group,ATX,56800,14740.0,368,150.0,,0,False,0.4076086956521739
19,voestalpine,ATX,15734,15744.0,394,192.0,,0,False,0.4873096446700508
20,Wienerberger,ATX,6380,4513.0,113,21.0,,0,False,0.18584070796460178
21,Adidas,DAX,20655,,310,106.0,,0,False,0.3419354838709677
22,Airbus (NL hybrid),DAX,129213,,1938,104.0,,0,False,0.053663570691434466
23,Allianz,DAX,1130338,,16955,12.0,,0,False,0.000707755824240637
24,BASF,DAX,80415,,1206,2943.0,ORDINARY,0,True,2.4402985074626864
25,Bayer,DAX,110850,,1663,50.0,,0,False,0.03006614552014432
26,Beiersdorf,DAX,13011,,195,13.0,,0,False,0.06666666666666667
27,BMW,DAX,267732,,4016,200.0,,0,False,0.049800796812749
28,Brenntag,DAX,11668,,175,13.0,,0,False,0.07428571428571429
29,Commerzbank,DAX,555000,,8325,100.0,,0,False,0.012012012012012012
30,Continental,DAX,36966,,555,300.0,,0,False,0.5405405405405406
31,Daimler Truck,DAX,73854,,1108,580.0,PRO_RATA_DIV,0,False,0.5234657039711191
32,Deutsche Bank,DAX,1395000,,20925,77.0,,0,False,0.0036798088410991635
33,Deutsche Börse,DAX,232000,,3480,10.0,,0,False,0.0028735632183908046
34,DHL Group,DAX,72700,,1091,380.0,PRO_RATA_DIV,0,False,0.3483043079743355
35,Deutsche Telekom,DAX,304900,,4574,4600.0,LEGACY,0,True,1.0056843025797988
36,E.ON,DAX,111361,,1670,200.0,,0,False,0.11976047904191617
37,Fresenius SE,DAX,43550,,653,452.0,,0,False,0.6921898928024502
38,Fresenius Medical Care,DAX,33567,,504,200.0,,0,False,0.3968253968253968
39,Hannover Rück,DAX,87700,,1315,424.0,PRO_RATA_DIV,0,False,0.3224334600760456
40,Heidelberg Materials,DAX,37302,,559,157.0,PRO_RATA_DIV,0,False,0.2808586762075134
41,Henkel,DAX,35250,,529,297.0,PRO_RATA_DIV,0,False,0.5614366729678639
42,Infineon Technologies,DAX,27978,,420,500.0,ORDINARY,0,True,1.1904761904761905
43,Mercedes-Benz Group,DAX,260000,,3900,189.0,,0,False,0.04846153846153846
44,Merck KGaA,DAX,51567,,774,990.0,LEGACY,0,True,1.2790697674418605
45,MTU Aero Engines,DAX,12497,,187,150.0,,0,False,0.8021390374331551
46,Munich Re,DAX,300000,,4500,35.0,,0,False,0.0077777777777777776
47,Porsche AG,DAX,60500,,908,2062.0,CONSOL,0,True,2.2709251101321586
48,Porsche SE,DAX,42841,,643,1400.0,PRO_RATA_DIV,0,True,2.177293934681182
49,Qiagen (NL hybrid),DAX,5477,,82,4.0,,0,False,0.04878048780487805
50,Rheinmetall,DAX,14344,,215,150.0,,0,False,0.6976744186046512
51,RWE,DAX,91860,,1378,15.0,,0,False,0.01088534107402032
52,SAP,DAX,75700,,1136,80.0,,0,False,0.07042253521126761
53,Sartorius,DAX,9717,,146,10.0,,0,False,0.0684931506849315
54,Siemens,DAX,147812,,2217,400.0,,0,False,0.18042399639152007
55,Siemens Energy,DAX,56058,,841,2081.0,,1,True,2.4744351961950057
56,Siemens Healthineers,DAX,46055,,691,1500.0,CONSOL,0,True,2.170767004341534
57,Symrise,DAX,8325,,125,3.0,,0,False,0.024
58,Volkswagen,DAX,624000,,9360,11941.0,ORDINARY,0,True,1.2757478632478632
59,Vonovia,DAX,90236,,1354,522.0,,0,False,0.38552437223042835
60,Zalando,DAX,7984,,120,122.0,ORDINARY,0,True,1.0166666666666666
